countryname,iso3,incomegroup,y2021GGXWDG_NGDP,y2021NGDPDPC,hdi,un_population2020,pop_total,vaccinesdelivered_archive_lag,vaccinesdelivered,total_donations,informcovid19risk,covid19riskclass,gap_percapita,gap_gghe,uhc,che,h7_vaccinationpolicy,e4_internationalsupport,h5_investmentinvaccines,stringencyindex,economicsupportindex,h7_name,total_vaccinations,persons_vaccinated_1plus_dose,total_vaccinations_per100,persons_vaccinated_1plus_dose_pe,persons_fully_vaccinated,persons_fully_vaccinated_per100,vaccines_used,number_vaccines_types_used,first_vaccine_date,deathscumulativetotal,deathsnewlyreportedinlast7days,vaccine_willingness_monthly,v3_vaccinefinancialsupportsummar,v3_name,population,total_boosters,total_boosters_per_hundred,dec40target,dec40target_name,securedvaccineofpopulation,cost_gdp_income40,pricebracket_che40,utilrate_lag,donationsoftotal,deliveredpopulation,casescumulativetotalper100000pop,casesnewlyreportedinlast7daysper,deathscumulativetotalper100000po,deathsnewlyreportedinlast7dayspe
Burundi,BDI,Low Income Economies,72.43300000000001,261.053,.433,11890.781,11890781,783122,802400,500000,6.5,Very High,1.82,33.9,44,20.56754111999999,5,0,0,19.44,0,Universal availability,39182,36909,.33,.31,36321,.305,,1,18oct2021,15,0,66.44129753112793,5,All eligible groups are fully government-funded,12889583,314,0,0,Target not reached,124.0798263549805,1.988868160871547,25.24365926732618,5.003307275239362,62.31306081754736,6.748084923942338,452.131781755967,0,.126148147880278,0
Belgium,BEL,High Income Economies,113.416,50412.71,.931,11589.616,11589616,26786939,26738495,0,2.8,Low,,,85,4960.393554690001,5,0,27401640.27,11.11,0,Universal availability,29117995,9254335,252.7,80.316,9158096,79.48099999999999,,4,30dec2020,34350,0,89.03079032897949,5,All eligible groups are fully government-funded,11655923,11629295,99.77,1,Target reached,632.3043823242188,.0211692646556791,.2151442195530985,108.7022111783657,0,230.7107931789975,41414.33158786279,.8024424622869299,296.3860062317854,0
Benin,BEN,Lower Middle Income Economies,52.26,1446.83,.545,12123.198,12123198,6266604,6856990,1200000,5.8,High,.84,14.9,38,29.12529182,5,4500000,0,11.11,0,Universal availability,4232541,3697190,34.913,30.497,2742837,22.625,,5,29mar2021,163,0,88.22979927062988,5,All eligible groups are fully government-funded,13352864,,,0,Target not reached,92.47607421875,.3759944153770657,18.67792444319619,67.54122328457328,17.50039011286293,56.56090084481009,231.0776413946221,0,1.344529718973492,0
Bonaire Sint Eustatius and Saba,BES,Unclassified Economies,,,,,,,,,,,,,,,,,,,,,35845,19109,137.934,73.533,16736,64.401,,2,,2,0,,,,27052,,,1,Target reached,,,,,,,,,,
Burkina Faso,BFA,Low Income Economies,48.182,926.2,.452,20903.278,20903278,8732121,9059480,1000000,6.3,High,1.65,10.5,43,42.3445282,5,80000000,0,8.33,0,Universal availability,6674010,5152110,31.928,24.647,4129254,19.754,,3,02jun2021,396,0,58.29630047082901,5,All eligible groups are fully government-funded,22673764,,,0,Target not reached,124.6517868041992,.5605700712589073,12.26132447497667,76.43057167897696,11.03816113066092,43.33999672204522,105.5145513540986,0,1.894439714192195,0
Bangladesh,BGD,Lower Middle Income Economies,39.937,2138.79,.632,164689.383,164689383,361859767,457009667,35309610,5.2,High,.32,4.6,51,45.85716248000001,5,501500000,0,13.89,0,Universal availability,359340705,151352473,218.193,91.902,140511683,85.319,,8,27jan2021,29451,5,98.99029731750488,5,All eligible groups are fully government-funded,171186368,67535878,39.45,1,Target reached,269.1136779785156,.2543494218693748,11.86292327261327,99.30385684463229,7.726228250659739,277.4979532226434,1238.641473324361,.3424628775250193,17.88275568437827,.003036018417775
Bulgaria,BGR,Upper Middle Income Economies,24.964,11331.87,.8159999999999999,6948.445,6948445,13051230,14449390,0,3.7,Medium,,,70,697.8963622999999,5,0,79094046.73,11.11,0,Universal availability,4617676,2108296,66.40000000000001,30.329,2080070,29.923,,4,30dec2020,38397,14,63.41527104377747,5,All eligible groups are fully government-funded,6781955,768430,11.33,0,Target not reached,632.304443359375,.0683382354368696,1.109620341690668,35.38115564586633,0,207.951419346343,18823.29067870581,5.843033945004962,552.5984590796934,.2014839291381021
Bahrain,BHR,High Income Economies,123.35,26293.95,.852,1701.583,1701583,4557106,3824296,100000,3.9,Medium,,,71,940.3956909200002,5,0,0,11.11,0,Universal availability,3476633,1241174,204.319,72.943,1226796,72.098,,11,04nov2020,1536,0,90.27389883995056,5,All eligible groups are fully government-funded,1472237,1008663,68.51000000000001,1,Target reached,218.1500854492188,.0405872833864824,1.134841439943165,76.29036937038551,2.614860355997548,224.7493069688637,40939.17252346785,0,90.26888491481168,0
Bahamas,BHS,High Income Economies,102.546,27437.2,.8139999999999999,393.248,393248,553933,589428,318350,3.9,Medium,,,70,2004.61633301,5,0,1600000,20.37,0,Universal availability,366359,174810,93.163,44.453,166972,42.46,,4,14mar2021,844,0,64.75809812545776,5,All eligible groups are fully government-funded,409989,36965,9.02,1,Target reached,169.8680267333984,.0388960972694007,.5323711986310932,66.1377820061271,54.00998934560286,149.8870941492391,9684.473919765645,0,214.6228334282692,0
Bosnia and Herzegovina,BIH,Upper Middle Income Economies,38.927,6647.83,.78,3280.815,3280815,2880003,2886500,2421840,4.2,Medium,.65,.2,65,553.82293701,5,0,9190000,25.93,0,Universal availability,1924950,943394,58.7,28.755,846080,25.789,,4,,16347,0,70.69420218467712,5,All eligible groups are fully government-funded,3233530,120530,3.73,0,Target not reached,124.2264709472656,.1164891400652544,1.398280837158641,66.83847204325829,83.9023038281656,87.98118760125152,12283.47224698741,0,498.260340799466,0
Saint Barthélemy,BLM,Unclassified Economies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,,,,10994,,,,Not available,,,,,,,,,,
Belarus,BLR,Upper Middle Income Economies,44.862,7032.48,.823,9449.321,9449321,16176575,20952485,5260000,3.8,Medium,1.08,.4,74,399.3970947300001,5,0,0,0,0,Universal availability,21205264,6438808,224.4,68.14,6354262,67.246,,5,03feb2021,7118,0,61.7375373840332,5,All eligible groups are fully government-funded,9534956,5699425,59.77,1,Target reached,173.7680206298828,.110117625645576,1.938922466432834,131.0862404433572,25.10442078827404,221.7353500849426,10519.66591038658,0,75.32816379081629,0
Belize,BLZ,Lower Middle Income Economies,117.892,4457.89,.716,397.621,397621,950497,962570,630950,3.8,Medium,,,67,293.41259766,5,12631000,6200000,11.11,0,Universal availability,510770,258456,128.454,64.999,221408,55.682,,5,01mar2021,688,0,82.64179825782776,5,All eligible groups are fully government-funded,405285,53198,13.13,1,Target reached,266.9569091796875,.1220308262429086,1.854044455958824,53.73715014355648,65.54847959109468,242.082284386388,17801.37366990174,0,173.029090515843,0
Bermuda,BMU,High Income Economies,,,,62.273,62273,140508,145247,0,,,,,,,5,0,0,11.11,0,Universal availability,132042,48554,212.037,77.97,47657,76.529,,3,11jan2021,165,0,96.04229927062988,5,All eligible groups are fully government-funded,64207,35831,55.81,1,Target reached,,,,93.97472030062345,0,233.2423361649511,30285.99874745074,0,264.9623432306136,0
Bolivia (Plurinational State of),BOL,Lower Middle Income Economies,82.748,3266.69,.718,11673.029,11673029,23939213,24438160,4650000,4.9,Medium,.78,.5,67,245.92347717,5,0,130000000,24.07,0,Universal availability,16016290,7492606,137.208,64.187,6295624,53.933,,7,30jan2021,22384,0,93.18634271621704,5,All eligible groups are fully government-funded,12224114,2167589,17.73,1,Target reached,253.6885223388672,.1665294227490212,2.212070218997221,66.90399554906003,19.02761910061968,209.3557721821817,10277.48667462404,7.161808644525769,191.7582831328527,0
Brazil,BRA,Upper Middle Income Economies,90.55,7741.15,.765,212559.409,212559409,605644213,635281360,5216600,3.5,Medium,.09,0,75,853.3879394500002,5,0,148930783,22.22,0,Universal availability,513329718,188746389,241.499,88.797,171459392,80.664,,5,17jan2021,702907,243,96.16014957427979,5,All eligible groups are fully government-funded,215313504,126388587,58.7,1,Target reached,283.4560852050781,.1000368162353139,.9074419313906555,84.75763608097085,.8211479713492617,298.8723778395526,17689.76361803866,10.45778218173349,330.6873138699779,.1143209802582769
Barbados,BRB,High Income Economies,138.259,16105.13,.8139999999999999,287.371,287371,529210,517240,372400,4,Medium,,,74,1143.32202148,5,15000,0,11.11,0,Universal availability,381721,163846,132.83,57.015,155036,53.949,,5,08jan2021,593,0,43.00000071525574,5,All eligible groups are fully government-funded,281646,62839,22.31,1,Target reached,179.7794952392578,.0662646001615634,.93342031374375,72.1303452315716,71.99752532673421,179.9903260941431,37510.39596897391,0,206.3534594652905,0
Brunei Darussalam,BRN,High Income Economies,2.257,33979.37,.838,437.483,437483,1373783,1417941,352000,3.1,Low,,,77,671.56268311,5,0,0,11.11,0,Universal availability,1291978,451032,295.323,103.098,446630,102.092,,5,03apr2021,161,0,74.05419945716858,5,All eligible groups are fully government-funded,449002,340379,75.81,1,Target reached,313.8456420898438,.0314072921304898,1.58912939453069,94.0452749815655,24.82472825032918,324.1133941204573,70330.9614316442,0,36.8014299984228,0
Bhutan,BTN,Lower Middle Income Economies,123.352,3296.11,.654,771.612,771612,2390238,2484297,1282500,4.2,Medium,,,62,115.98075867,5,100000,0,5.56,0,Universal availability,2011426,699116,260.68,90.605,677669,87.82599999999999,,5,27mar2021,21,0,89.25290107727051,5,All eligible groups are fully government-funded,782457,634641,81.11,1,Target reached,325.8905029296875,.1650430355783029,4.690433191145463,84.15170372155409,51.62426231646216,321.961944604283,8122.216865471248,.1295988139116551,2.721575092144757,0
Bouvet Island,BVT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,BWA,Upper Middle Income Economies,22.77,7349.88,.735,2351.625,2351625,2916242,3709268,280400,4.7,Medium,.4,.1,54,481.53305054,5,0,0,0,0,Universal availability,3171667,1951054,134.871,82.96599999999999,1663490,70.738,,6,26mar2021,2797,0,86.88520193099976,5,All eligible groups are fully government-funded,2630300,507654,19.3,1,Target reached,240.8696594238281,.1053622644179225,1.608196984883122,108.7587038387075,7.559442995221699,157.7321214054112,14030.21315048105,0,118.9390315207569,0
Central African Republic,CAF,Low Income Economies,46.482,525.914,.397,4829.764,4829764,2315346,3583234,150000,7.6,Very High,2.36,,32,37.19958115,5,0,15740000,8.33,0,Universal availability,2914105,2381935,60.336,49.318,2266531,46.928,,2,19mar2021,113,0,68.99999976158142,5,All eligible groups are fully government-funded,5579148,226816,4.07,1,Target reached,123.0487899780273,.9872336541715947,13.95714639652603,125.8604545497736,4.186162555948063,74.19066438857054,318.1728962326109,0,2.339658832191386,0
Canada,CAN,High Income Economies,109.88,52791.23,.929,37742.157,37742157,104332732,224634534,1000000,2,Low,,,89,5048.37255859,5,1179361478,9163701457.450001,5.56,0,Universal availability,97596974,32645232,258.589,86.495,31311576,82.962,,6,14dec2020,52645,71,21.99999988079071,5,All eligible groups are fully government-funded,38454328,30431178,79.14,1,Target reached,832.3860473632813,.020215478972549,.2113948579694496,93.54396470706816,.4451675270909147,595.1820241752478,12403.25771523869,8.536872972045558,139.4859334616196,.1881185540084527
Cocos (Keeling) Islands,CCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,High Income Economies,42.694,93515.48,.955,8654.618,8654618,20932002,18601424,0,1.9,Very Low,,,87,9666.337890630002,5,324650000,400160460,5.56,0,Universal availability,16754460,6096538,193.6,70.84,5722923,66.499,,6,23dec2020,14017,0,81.10983967781067,5,All eligible groups are fully government-funded,8740471,4885554,55.9,,Not available,837.0150756835938,.0114120143531317,.1104037549767925,80.04231988894325,0,214.9306185437647,50908.48608222801,0,161.9597768497697,0
Chile,CHL,High Income Economies,34.404,16799.37,.851,19116.209,19116209,65802340,70403059,0,3.1,Low,,,80,1375.80297852,5,12000000000,3435342491,13.89,0,Universal availability,66273384,18106832,346.687,94.72,17716364,92.67700000000001,,5,21dec2020,61528,20,96.19390368461609,5,All eligible groups are fully government-funded,19603736,27474929,140.15,1,Target reached,451.8372192382813,.0635261917560004,.7756924622652183,100.7158468832567,0,368.2898580989568,27660.27510998651,1.611198119878267,321.8629802593181,.1046232545375498
China,CHN,Upper Middle Income Economies,68.946,11891.2,.761,1439323.774,1439323774,3824573187,3840184700,5000000,3.4,Low,,,82,535.13336182,5,331340028,0,49.54,62.5,Universal availability,3515872818,1317994878,238.966,89.581,1284413713,87.29900000000001,,8,22jul2020,121236,1,98.00000190734863,5,All eligible groups are fully government-funded,1425887360,826913000,57.99,1,Target reached,261.4398803710938,.0651237890204521,1.447115906521412,91.928501458691,.1302020707493574,266.8047849531317,6897.215747650118,.2608864015053781,8.42312217653955,.0000694770709735
Côte d’Ivoire,CIV,Lower Middle Income Economies,50.207,2489.1,.538,26378.275,26378275,23258005,27790324,375000,5.6,High,.07,.4,45,75.08779143999998,5,309921796.2,0,13.89,0,Universal availability,25263932,13568372,95.776,51.438,12164304,46.115,,5,01mar2021,835,0,81.35073781013489,5,All eligible groups are fully government-funded,28160548,3138712,11.15,1,Target reached,121.5981216430664,.2185528906030292,7.244852852473247,108.6246735263837,1.349390528876166,105.3530755896661,334.8626852968968,0,3.165483717187724,0
Cameroon,CMR,Lower Middle Income Economies,45.797,1645.81,.5629999999999999,26545.864,26545864,12212804,5867110,200000,5.7,High,1.15,38.5,44,53.99584960999999,5,0,0,8.33,0,Universal availability,4735141,3656503,17.838,13.774,3107836,11.707,,4,12apr2021,1972,0,46.20000123977661,5,All eligible groups are fully government-funded,27914542,765051,2.74,0,Target not reached,120.3250122070313,.3305363316543222,10.07484841759489,38.77193967904504,3.40883330975557,22.10178579985191,471.0187620941628,0,7.428652538866318,0
Democratic Republic of the Congo,COD,Low Income Economies,11.873,593.558,.48,89561.40399999999,89561404,13865936,34692350,2580000,6.8,Very High,.89,35.2,39,20.57073212,2,0,0,25,0,Availability for ONE or TWO of following: key workers/clinically vulnerable groups (non elderly)/elderly groups,16398195,15388889,18.309,17.183,12873681,14.374,,1,19apr2021,1467,0,45.95876634120941,5,All eligible groups are fully government-funded,99010216,,,0,Target not reached,151.4341888427734,.8747249636935229,25.23974338741232,118.2624454634725,7.436798026077795,38.7358264280895,108.1827614046783,0,1.637982361241233,0
Congo,COG,Lower Middle Income Economies,85.44,2655.72,.574,5518.092,5518092,3137382,2968910,400000,5.7,High,.68,4.2,40,48.55877303999999,5,0,16800000,13.89,0,Universal availability,833210,695760,15.1,12.609,654119,11.854,,4,23mar2021,389,0,56.88340067863464,5,All eligible groups are fully government-funded,5970430,,,0,Target not reached,145.5132904052734,.2048408717786514,11.20291897721311,26.55749283957134,13.47295808899562,53.80319864184939,456.6071025999566,0,7.049538137457658,0
Cook Islands,COK,High Income Economies,,,,17.564,17564,,44940,0,,,,,54,662.24285889,,,,,,,40080,15112,228.194,86.04000000000001,14728,83.85299999999999,,1,17may2021,2,0,,,,17032,10240,60.12,1,Target reached,,,1.611493405589541,,0,255.864267820542,40583.01070371213,0,11.3869278068777,0
Colombia,COL,Upper Middle Income Economies,66.727,5892.14,.767,50882.884,50882884,139643032,144907462,8016000,4.3,Medium,.3,.1,78,495.32971191,5,31600666,0,19.44,12.5,Universal availability,90506612,43012174,177.872,84.532,37019801,72.755,,5,17feb2021,142765,17,95.13149261474609,5,All eligible groups are fully government-funded,51874028,14792792,28.52,1,Target reached,273.7238464355469,.1314293278842661,1.563403085621293,64.812837922339,5.531806222649873,284.7862593637577,12516.84947732129,2.621706741308138,280.5756843499673,.0334100559237169
Comoros,COM,Lower Middle Income Economies,26.572,1390.06,.554,869.595,869595,1478035,952137,400000,6,High,,,44,72.32379913,,,,,,,835021,438825,96.023,50.463,397080,45.662,,3,10apr2021,160,0,,,,836783,,,1,Target reached,201.2993316650391,.3913500136684748,7.521728760710915,56.49534686255738,42.01076105644461,109.4920048988322,1047.499123155032,0,18.39936982158361,0
Cabo Verde,CPV,Lower Middle Income Economies,160.667,3346.55,.665,555.9880000000001,555988,999566,1132390,584150,4.5,Medium,,,69,177.89027405,5,0,40026836.76,11.11,0,Universal availability,859940,356734,154.669,64.16200000000001,308720,55.526,,4,18mar2021,414,0,67.50249862670898,5,All eligible groups are fully government-funded,593162,749,.13,1,Target reached,210.6901397705078,.1625554675710807,3.058064882440379,86.03133760051863,51.58558447178092,203.6716619783161,11502.40652675957,5.575659906328913,74.46203874903775,0
Costa Rica,CRI,Upper Middle Income Economies,71.20099999999999,11860.22,.8100000000000001,5094.114,5094114,14545062,15037247,2139130,3.4,Low,.31,0,78,921.5857543900001,5,1597691.5,40000000,11.11,0,Universal availability,13371989,4641899,262.499,91.123,4358863,85.56699999999999,,3,24dec2020,9379,5,96.1217999458313,5,All eligible groups are fully government-funded,5180836,2957974,57.09,1,Target reached,295.7643127441406,.065293898426842,.8402907665522427,91.93490546826133,14.22554274728612,295.1886628371489,24213.8672200897,17.78523213261423,184.1144505207382,.0981524952131028
Cuba,CUB,Upper Middle Income Economies,,,.783,11326.616,11326616,45465786,48017339,0,3.4,Low,,,80,1031.92175293,5,0,0,11.11,0,Universal availability,38105906,10749013,336.428,94.90000000000001,10016328,88.432,,3,,8530,0,,5,All eligible groups are fully government-funded,11212198,8748002,78.02,1,Target reached,398.9095153808594,,.7504444962044822,83.81226709684509,0,423.9336709216592,9837.969257543471,2.171875518689783,75.30934217245468,0
Curaçao,CUW,High Income Economies,,,,164.1,164100,,,,,,,,,,,,,,,,260324,108601,158.644,66.18300000000001,100885,61.48,,3,24feb2021,302,0,,,,191173,49213,25.74,1,Target reached,,,,,,,27920.17062766606,3.046922608165752,184.0341255332114,0
Christmas Island,CXR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,High Income Economies,,,,65.72,65720,158857,165899,59600,,,,,,,,,,,,,151822,62085,231.013,94.46899999999999,60664,92.307,,1,15jan2021,37,0,,,,68722,24064,35.02,1,Target reached,,,,95.57148882328131,35.92547272738232,252.4330493000609,47888.00973828362,0,56.29945222154595,0
Cyprus,CYP,High Income Economies,111.041,29486.28,.887,1207.361,1207361,2843472,3110583,196000,3.3,Low,,,79,1996.45825195,5,0,0,11.11,100,Universal availability,1858796,669185,209.3,75.366,656113,73.886,,5,23dec2020,1364,0,96.28900289535522,5,All eligible groups are fully government-funded,896007,481275,53.71,1,Target reached,648.4283447265625,.0361931040470348,.5345466147151507,65.37064546441815,6.301069606565715,257.634874739204,54735.41053587121,0,112.9736673621228,0
Czechia,CZE,High Income Economies,45.007,25806.38,.9,10708.982,10708982,29111800,35284540,135620,3.4,Low,,,78,1844.21777344,5,2079966.77,0,11.11,0,Universal availability,18614118,6972084,174.1,65.197,6887797,64.408,,9,23dec2020,42804,0,79.02647852897644,5,All eligible groups are fully government-funded,10493990,5166920,49.24,1,Target reached,634.0401611328125,.0413541147576685,.5786735250953379,63.94011363089881,.3843609694217354,329.4854730356256,43349.4145381886,1.540762698079052,399.7018577489438,0
Germany,DEU,High Income Economies,72.498,50787.86,.947,83783.94500000001,83783945,226808132,223877672,0,2.2,Low,,,86,5440.251464839999,5,3763342890,2361521162,11.11,100,Universal availability,193232623,64867380,232.3,77.997,63564301,76.43000000000001,,9,23dec2020,174412,4,89.57517743110657,5,All eligible groups are fully government-funded,83369840,64791434,77.72,1,Target reached,668.06103515625,.0210128956014292,.196167402719754,85.19651447065398,0,267.2083201620549,45867.88316066998,2.550607995362357,208.1687607333362,.0047741843619323
Djibouti,DJI,Lower Middle Income Economies,42.289,3645.5,.524,988.002,988002,1690907,2145280,1500000,5.6,High,2.92,8.699999999999999,48,61.80943298,5,0,0,2.78,0,Universal availability,392703,372077,39.747,37.66,351712,35.598,,11,15mar2021,189,0,,5,All eligible groups are fully government-funded,1120851,,,0,Target not reached,219.6930847167969,.1492250720065835,8.80124559913088,23.22439968608563,69.92094272076372,217.1331636980492,1588.053465478815,0,19.12951593215398,0
Dominica,DMA,Upper Middle Income Economies,107.76,7777.02,.742,71.991,71991,223380,241160,122200,4.2,Medium,6.38,2,67,440.16986084,5,0,0,24.07,0,Universal availability,67647,32995,93.96599999999999,45.832,30659,42.587,,5,12feb2021,74,0,,5,All eligible groups are fully government-funded,72758,3993,5.49,1,Target reached,397.3701782226563,.0995754157762228,1.759320818836098,30.28337362342197,50.67175319290098,334.9863177341612,21891.62534205665,0,102.7906266061035,0
